"#","Name","Pos","GP","G","A","PTS","SOG","+/-","FO W/L","BkS","PIM","TkA","GvA","S%","PPG","SHG","GWG","PPGA","FO%","ShB","Sh"
,"Elaine Chuli",,"0","0","0","0","0","0","0 - 0","0","0","0","0",".000","0","0","0","0.0",".000","0","0"
,"Emma Greco",,"0","0","0","0","0","0","0 - 0","0","0","0","0",".000","0","0","0","0.0",".000","0","0"
,"Kristen Barbara",,"0","0","0","0","0","0","0 - 0","0","0","0","0",".000","0","0","0","0.0",".000","0","0"
,"Shiann Darkangelo",,"0","0","0","0","0","0","0 - 0","0","0","0","0",".000","0","0","0","0.0",".000","0","0"
,"Taylor Woods",,"0","0","0","0","0","0","0 - 0","0","0","0","0",".000","0","0","0","0.0",".000","0","0"
